filename,correction


#leap correction
pse.a15.2.70.S15.14.1972.097.00_00_00_545000.csv.gz,1.0

pse.a15.3.8.S15.11.1972.213.07_32_52_658000.csv.gz,-2.0




pse.a16.1.19.S16.4.1972.131.15_33_49_795000.csv.gz,1.0

pse.a12.6.221.S12.3.1973.087.23_36_19_391000.csv.gz,-2.0

pse.a12.6.221.S12.3.1973.088.00_00_00_600000.csv.gz,-2.0
pse.a12.6.221.S12.3.1973.088.01_06_56_082000.csv.gz,-2.0
pse.a12.6.221.S12.3.1973.088.03_41_13_217000.csv.gz,-2.0


wtn.1.25.S12.3.1976.071.17_55_11_628000.csv.gz,0.8

wtn.1.28.S12.7.1976.072.15_34_59_144000.csv.gz,0.8
wtn.1.28.S12.7.1976.072.18_03_42_064000.csv.gz,0.8

wtn.1.30.S12.7.1976.073.16_57_59_293000.csv.gz,0.8
wtn.1.31.S12.7.1976.073.21_22_59_318000.csv.gz,0.8

wtn.1.31.S12.7.1976.074.00_00_00_403000.csv.gz,0.8
wtn.1.31.S12.700.1976.074.00_52_59_209000.csv.gz,0.8
wtn.1.32.S12.7.1976.074.18_02_08_306000.csv.gz,0.8
wtn.1.33.S12.7.1976.074.21_21_41_494000.csv.gz,0.8

wtn.1.33.S12.7.1976.075.00_00_00_477000.csv.gz,0.8
wtn.1.33.S12.700.1976.075.01_44_59_530000.csv.gz,0.8

wtn.1.49.S12.7.1976.083.02_16_59_015000.csv.gz,0.8

wtn.1.51.S12.7.1976.084.06_49_59_071000.csv.gz,0.8

wtn.1.55.S12.500.1976.085.23_57_59_087000.csv.gz,0.8

wtn.1.55.S12.500.1976.086.00_00_00_441000.csv.gz,0.8
wtn.1.55.S12.7.1976.086.06_45_59_300000.csv.gz,0.8

wtn.2.10.S12.3.1976.092.15_27_20_857000.csv.gz,0.8

wtn.2.22.S12.7.1976.097.19_51_55_919000.csv.gz,0.8

wtn.2.22.S12.7.1976.098.00_00_00_122000.csv.gz,0.8

wtn.2.26.S12.7.1976.099.12_55_59_230000.csv.gz,0.8
wtn.2.25.S12.7.1976.099.12_55_59_230000.csv.gz,0.8
wtn.2.27.S12.7.1976.099.18_28_02_884000.csv.gz,0.8
wtn.2.27.S12.701.1976.099.20_43_39_596000.csv.gz,0.8

wtn.2.27.S12.701.1976.100.00_00_00_532000.csv.gz,0.8
wtn.2.27.S12.700.1976.100.00_20_32_178000.csv.gz,0.8

wtn.2.31.S12.7.1976.101.15_48_54_450000.csv.gz,0.8
wtn.2.32.S12.7.1976.101.21_20_58_294000.csv.gz,0.8

wtn.2.36.S12.7.1976.103.17_39_59_635000.csv.gz,0.8
wtn.2.36.S12.700.1976.103.21_33_59_473000.csv.gz,0.8
wtn.2.37.S12.7.1976.103.23_45_09_494000.csv.gz,0.8

wtn.2.37.S12.7.1976.104.00_00_00_041000.csv.gz,0.8
wtn.2.38.S12.7.1976.104.21_58_23_029000.csv.gz,0.8

wtn.2.38.S12.7.1976.105.00_00_00_091000.csv.gz,0.8
wtn.2.40.S12.7.1976.105.22_41_59_878000.csv.gz,0.8

wtn.2.40.S12.7.1976.106.00_00_00_239000.csv.gz,0.8

wtn.2.40.S12.7.1976.106.00_00_00_239000.csv.gz

wtn.2.48.S12.7.1976.111.00_58_59_253000.csv.gz,0.8
wtn.2.48.S12.7.1976.111.05_19_59_548000.csv.gz,0.8

wtn.2.53.S12.7.1976.114.11_19_58_861000.csv.gz,0.8

wtn.3.27.S12.7.1976.132.23_35_23_343000.csv.gz,0.8

wtn.3.27.S12.7.1976.133.00_00_00_137000.csv.gz,0.8

wtn.3.30.S12.7.1976.134.19_43_59_093000.csv.gz,0.8

wtn.3.30.S12.7.1976.135.00_00_00_474000.csv.gz,0.8
wtn.3.31.S12.7.1976.135.22_42_07_306000.csv.gz,0.8

wtn.3.31.S12.7.1976.136.00_00_00_413000.csv.gz,0.8
wtn.3.32.S12.7.1976.136.00_35_19_613000.csv.gz,0.8
wtn.3.32.S12.700.1976.136.01_35_30_103000.csv.gz,0.8
wtn.3.33.S12.7.1976.136.22_07_52_112000.csv.gz,0.8

wtn.3.33.S12.7.1976.137.00_00_00_419000.csv.gz,0.8
wtn.3.33.S12.700.1976.137.05_23_20_472000.csv.gz,0.8
wtn.3.35.S12.7.1976.137.22_50_59_248000.csv.gz,0.8

wtn.3.35.S12.7.1976.138.00_00_00_443000.csv.gz,0.8
wtn.3.35.S12.700.1976.138.06_42_26_065000.csv.gz,0.8
wtn.3.37.S12.7.1976.138.23_34_59_585000.csv.gz,0.8

wtn.3.37.S12.7.1976.139.00_00_00_536000.csv.gz,0.8
wtn.3.37.S12.700.1976.139.07_36_58_554000.csv.gz,0.8

wtn.3.40.S12.7.1976.141.01_39_59_300000.csv.gz,0.8

wtn.3.42.S12.7.1976.142.01_39_08_450000.csv.gz,0.8

wtn.5.7.S12.3.1976.180.11_36_19_471000.csv.gz,0.8
wtn.5.8.S12.3.1976.180.11_58_10_809000.csv.gz,0.8

wtn.5.30.S12.7.1976.190.17_22_59_341000.csv.gz,0.8

wtn.5.33.S12.7.1976.191.18_32_59_504000.csv.gz,0.8
wtn.5.34.S12.7.1976.191.21_20_06_699000.csv.gz,0.8

wtn.5.34.S12.7.1976.192.00_00_00_408000.csv.gz,0.8
wtn.5.34.S12.700.1976.192.02_17_12_044000.csv.gz,0.8

wtn.5.36.S12.7.1976.192.19_15_14_920000.csv.gz,0.8

wtn.5.39.S12.7.1976.193.23_31_33_128000.csv.gz,0.8

wtn.5.39.S12.7.1976.194.00_00_00_561000.csv.gz,0.8

wtn.5.50.S12.700.1976.197.23_33_50_835000.csv.gz,0.8

wtn.5.50.S12.700.1976.198.00_00_00_011000.csv.gz,0.8

wtn.7.49.S12.7.1976.250.19_45_38_433000.csv.gz,0.8

wtn.7.50.S12.7.1976.252.00_00_00_452000.csv.gz,0.8
wtn.7.51.S12.7.1976.252.01_10_54_508000.csv.gz,0.8
wtn.7.51.S12.700.1976.252.02_08_57_571000.csv.gz,0.8
wtn.7.52.S12.7.1976.252.22_06_49_103000.csv.gz,0.8

wtn.7.53.S12.7.1976.254.04_19_59_017000.csv.gz,0.8
wtn.7.54.S12.7.1976.254.20_54_59_476000.csv.gz,0.8

wtn.7.54.S12.7.1976.255.00_00_00_095000.csv.gz,0.8

wtn.8.2.S12.7.1976.256.21_46_59_595000.csv.gz,0.8

wtn.8.2.S12.7.1976.257.00_00_00_010000.csv.gz,0.8
wtn.8.2.S12.700.1976.257.05_12_13_297000.csv.gz,0.8
wtn.8.3.S12.7.1976.257.21_40_20_185000.csv.gz,0.8

wtn.8.5.S12.7.1976.259.00_00_00_046000.csv.gz,0.8
wtn.8.5.S12.500.1976.259.00_00_00_457000.csv.gz,0.8
wtn.8.6.S12.7.1976.259.06_07_06_850000.csv.gz,0.8
wtn.8.6.S12.700.1976.259.08_08_19_094000.csv.gz,0.8
wtn.8.7.S12.7.1976.259.22_54_01_734000.csv.gz,0.8

wtn.8.7.S12.7.1976.260.00_00_00_564000.csv.gz,0.8
wtn.8.7.S12.700.1976.260.06_28_59_392000.csv.gz,0.8
wtn.8.8.S12.7.1976.260.23_51_59_598000.csv.gz,0.8

wtn.8.8.S12.7.1976.261.00_00_00_190000.csv.gz,0.8
wtn.8.9.S12.7.1976.261.03_06_12_761000.csv.gz,0.8
wtn.8.10.S12.7.1976.261.06_10_30_632000.csv.gz,0.8

wtn.8.11.S12.7.1976.262.01_15_15_388000.csv.gz,0.8
wtn.8.11.S12.8.1976.262.09_12_34_696000.csv.gz,0.8

wtn.8.15.S12.7.1976.264.04_29_58_916000.csv.gz,0.8

wtn.8.40.S12.7.1976.277.15_58_59_575000.csv.gz,0.8
wtn.8.41.S12.7.1976.277.20_30_31_488000.csv.gz,0.8

wtn.8.42.S12.7.1976.278.16_26_59_101000.csv.gz,0.8

wtn.8.44.S12.7.1976.279.17_14_58_976000.csv.gz,0.8

wtn.8.44.S12.7.1976.280.00_00_00_119000.csv.gz,0.8
wtn.8.45.S12.7.1976.280.18_01_19_037000.csv.gz,0.8
wtn.8.45.S12.700.1976.280.20_43_07_405000.csv.gz,0.8
wtn.8.46.S12.7.1976.280.23_40_35_825000.csv.gz,0.8

wtn.8.46.S12.7.1976.281.00_00_00_468000.csv.gz,0.8
wtn.8.46.S12.700.1976.281.02_31_32_418000.csv.gz,0.8
wtn.8.47.S12.7.1976.281.18_37_59_436000.csv.gz,0.8
wtn.8.48.S12.7.1976.281.20_48_59_103000.csv.gz,0.8

wtn.8.48.S12.7.1976.282.00_00_00_170000.csv.gz,0.8
wtn.8.49.S12.7.1976.282.19_34_59_393000.csv.gz,0.8
wtn.8.49.S12.700.1976.282.20_57_59_156000.csv.gz,0.8

wtn.8.49.S12.700.1976.283.00_00_00_467000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.01_06_57_849000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.02_29_58_827000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.02_30_07_883000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.03_25_43_632000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.03_28_53_814000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.03_32_31_770000.csv.gz,0.8
wtn.8.50.S12.7.1976.283.03_47_02_988000.csv.gz,0.8
wtn.8.52.S12.7.1976.283.19_44_41_717000.csv.gz,0.8

wtn.8.52.S12.7.1976.284.00_00_00_165000.csv.gz,0.8
wtn.8.53.S12.7.1976.284.02_21_58_539000.csv.gz,0.8
wtn.8.53.S12.7.1976.284.19_54_25_247000.csv.gz,0.8

wtn.8.55.S12.7.1976.285.20_09_58_945000.csv.gz,0.8

wtn.8.55.S12.7.1976.286.00_00_00_153000.csv.gz,0.8
wtn.9.1.S12.7.1976.286.21_24_59_008000.csv.gz,0.8

wtn.9.1.S12.7.1976.287.00_00_00_441000.csv.gz,0.8
wtn.9.2.S12.7.1976.287.21_37_59_385000.csv.gz,0.8

wtn.9.2.S12.7.1976.288.00_00_00_171000.csv.gz,0.8
wtn.9.3.S12.7.1976.288.22_32_18_287000.csv.gz,0.8

wtn.9.3.S12.7.1976.289.00_00_00_017000.csv.gz,0.8
wtn.9.4.S12.7.1976.289.01_50_20_199000.csv.gz,0.8
wtn.9.4.S12.3.1976.289.13_33_03_164000.csv.gz,0.4
wtn.9.5.S12.7.1976.289.23_44_59_308000.csv.gz,0.8

wtn.9.5.S12.7.1976.290.00_00_00_115000.csv.gz,0.8

wtn.9.6.S12.7.1976.291.00_49_58_960000.csv.gz,0.8

wtn.9.26.S12.7.1976.306.15_18_19_354000.csv.gz,0.8
wtn.9.26.S12.701.1976.306.18_40_59_268000.csv.gz,0.8
wtn.9.26.S12.700.1976.306.19_06_52_305000.csv.gz,0.8

wtn.9.28.S12.7.1976.307.15_58_58_958000.csv.gz,0.8
wtn.9.27.S12.7.1976.307.19_17_31_720000.csv.gz,0.8
wtn.9.27.S12.3.1976.307.19_23_44_453000.csv.gz,0.4

wtn.9.31.S12.7.1976.309.17_15_00_855000.csv.gz,0.8

wtn.9.34.S12.7.1976.311.18_00_31_058000.csv.gz,0.8

wtn.9.34.S12.7.1976.312.00_00_00_176000.csv.gz,0.8
wtn.9.34.S12.700.1976.312.01_21_15_496000.csv.gz,0.8
wtn.9.34.S12.701.1976.312.01_33_21_815000.csv.gz,0.8
wtn.9.35.S12.7.1976.312.18_39_59_291000.csv.gz,0.8

wtn.9.35.S12.7.1976.313.00_00_00_483000.csv.gz,0.8
wtn.9.35.S12.701.1976.313.02_31_58_991000.csv.gz,0.8
wtn.9.35.S12.700.1976.313.04_27_20_436000.csv.gz,0.8
wtn.9.36.S12.7.1976.313.19_15_47_752000.csv.gz,0.8
wtn.9.37.S12.7.1976.313.20_50_03_117000.csv.gz,0.8

wtn.9.37.S12.7.1976.314.00_00_00_185000.csv.gz,0.8
wtn.9.37.S12.700.1976.314.03_38_04_151000.csv.gz,0.8
wtn.9.37.S12.7.1976.314.04_09_59_262000.csv.gz,0.8
wtn.9.38.S12.7.1976.314.22_02_15_371000.csv.gz,0.8

wtn.9.38.S12.7.1976.315.00_00_00_503000.csv.gz,0.8
wtn.9.38.S12.700.1976.315.05_32_14_672000.csv.gz,0.8
wtn.9.39.S12.7.1976.315.20_49_14_241000.csv.gz,0.8

wtn.9.39.S12.7.1976.316.00_00_00_210000.csv.gz,0.8
wtn.9.39.S12.700.1976.316.04_24_58_879000.csv.gz,0.8
wtn.9.40.S12.7.1976.316.21_18_01_300000.csv.gz,0.8
wtn.9.40.S12.700.1976.316.23_43_59_359000.csv.gz,0.8

wtn.9.40.S12.700.1976.317.00_00_00_535000.csv.gz,0.8
wtn.9.41.S12.7.1976.317.07_06_44_573000.csv.gz,0.8
wtn.9.42.S12.7.1976.317.07_43_46_391000.csv.gz,0.8
wtn.9.44.S12.7.1976.317.22_13_59_166000.csv.gz,0.8

wtn.9.44.S12.7.1976.318.00_00_00_329000.csv.gz,0.8
wtn.9.44.S12.700.1976.318.05_00_51_408000.csv.gz,0.8

wtn.9.46.S12.7.1976.319.00_02_59_015000.csv.gz,0.8
wtn.9.46.S12.700.1976.319.06_28_44_059000.csv.gz,0.8

wtn.9.48.S12.7.1976.320.01_09_59_798000.csv.gz,0.8
wtn.9.48.S12.700.1976.320.06_41_59_089000.csv.gz,0.8
wtn.9.48.S12.3.1976.320.13_55_34_834000.csv.gz,0.4
wtn.9.49.S12.3.1976.320.13_55_34_834000.csv.gz,0.4

wtn.9.49.S12.7.1976.321.02_07_34_987000.csv.gz,0.8
wtn.9.50.S12.7.1976.321.04_17_23_604000.csv.gz,0.8

wtn.9.54.S12.7.1976.324.04_45_59_169000.csv.gz,0.8
