t1,t2,station,channel,location
1973-05-17T00:00:00.693000Z,1973-05-17T23:59:58.126962Z,S16,MH2,00
1973-05-17T00:00:00.608000Z,1973-05-17T23:59:58.174038Z,S16,SHZ,
1973-05-18T00:00:00.422000Z,1973-05-19T00:00:03.289925Z,S12,MHZ,00
1973-05-18T00:00:00.384000Z,1973-05-19T00:00:03.251925Z,S12,MH1,00
1973-05-18T00:00:00.403000Z,1973-05-19T00:00:03.270925Z,S12,MH2,00
1973-05-18T00:00:00.510000Z,1973-05-19T00:00:05.943962Z,S14,MH1,00
1973-05-18T00:00:00.529000Z,1973-05-19T00:00:05.962962Z,S14,MH2,00
1973-05-18T00:00:00.444000Z,1973-05-19T00:00:05.877962Z,S14,SHZ,
1973-05-18T00:53:30.227102Z,1973-05-19T00:00:05.245970Z,S15,MHZ,00
1973-05-18T00:53:30.189102Z,1973-05-19T00:00:05.207970Z,S15,MH1,00
1973-05-18T00:53:30.208102Z,1973-05-19T00:00:05.226970Z,S15,MH2,00
1973-05-18T00:53:30.123102Z,1973-05-19T00:00:05.274045Z,S15,SHZ,
1973-05-18T00:00:00.616000Z,1973-05-18T23:28:25.823547Z,S16,MHZ,00
1973-05-18T00:00:00.578000Z,1973-05-18T23:28:25.785547Z,S16,MH1,00
1973-05-18T00:00:00.597000Z,1973-05-18T23:28:25.804547Z,S16,MH2,00
1973-05-18T00:00:00.512000Z,1973-05-18T23:28:25.851623Z,S16,SHZ,
1973-05-19T00:00:00.680000Z,1973-05-20T00:00:02.944151Z,S12,MHZ,00
1973-05-19T00:00:00.642000Z,1973-05-20T00:00:02.906151Z,S12,MH1,00
1973-05-19T00:00:00.661000Z,1973-05-20T00:00:02.925151Z,S12,MH2,00
1973-05-19T00:00:00.515268Z,1973-05-20T00:00:05.798287Z,S14,MH1,00
1973-05-19T00:00:00.534268Z,1973-05-20T00:00:05.817287Z,S14,MH2,00
1973-05-19T00:00:00.449268Z,1973-05-20T00:00:05.864362Z,S14,SHZ,
1973-05-19T00:00:00.478000Z,1973-05-20T00:00:05.157245Z,S15,MHZ,00
1973-05-19T00:00:00.440000Z,1973-05-20T00:00:05.119245Z,S15,MH1,00
1973-05-19T00:00:00.459000Z,1973-05-20T00:00:05.138245Z,S15,MH2,00
1973-05-19T00:00:00.374000Z,1973-05-20T00:00:05.185321Z,S15,SHZ,
1973-05-19T04:38:09.364784Z,1973-05-20T00:00:04.534595Z,S16,MHZ,00
1973-05-19T04:38:09.326784Z,1973-05-20T00:00:04.496595Z,S16,MH1,00
1973-05-19T04:38:09.345784Z,1973-05-20T00:00:04.515595Z,S16,MH2,00
1973-05-19T04:38:09.260784Z,1973-05-20T00:00:04.562671Z,S16,SHZ,
1973-05-20T00:00:00.347000Z,1973-05-21T00:00:03.214925Z,S12,MHZ,00
1973-05-20T00:00:00.309000Z,1973-05-21T00:00:03.176925Z,S12,MH1,00
1973-05-20T00:00:00.328000Z,1973-05-21T00:00:03.195925Z,S12,MH2,00
1973-05-20T00:00:00.505000Z,1973-05-21T00:00:05.788019Z,S14,MH1,00
1973-05-20T00:00:00.524000Z,1973-05-21T00:00:05.807019Z,S14,MH2,00
1973-05-20T00:00:00.439000Z,1973-05-21T00:00:05.854094Z,S14,SHZ,
1973-05-20T00:00:00.364000Z,1973-05-20T22:59:47.231925Z,S15,MHZ,00
1973-05-20T00:00:00.326000Z,1973-05-20T22:59:47.193925Z,S15,MH1,00
1973-05-20T00:00:00.345000Z,1973-05-20T22:59:47.212925Z,S15,MH2,00
1973-05-20T00:00:00.260000Z,1973-05-20T22:59:47.260000Z,S15,SHZ,
1973-05-20T00:00:00.169000Z,1973-05-20T23:00:54.659566Z,S16,MHZ,00
1973-05-20T00:00:00.131000Z,1973-05-20T23:00:54.621566Z,S16,MH1,00
1973-05-20T00:00:00.150000Z,1973-05-20T23:00:54.640566Z,S16,MH2,00
1973-05-20T00:00:00.065000Z,1973-05-20T23:00:54.687642Z,S16,SHZ,
1973-05-21T00:00:00.634000Z,1973-05-22T00:00:02.898151Z,S12,MHZ,00
1973-05-21T00:00:00.596000Z,1973-05-22T00:00:02.860151Z,S12,MH1,00
1973-05-21T00:00:00.615000Z,1973-05-22T00:00:02.879151Z,S12,MH2,00
1973-05-21T00:00:00.376247Z,1973-05-22T00:00:06.263039Z,S14,MH1,00
